@id,@lat,@lon,highway,crossing,traffic_calming
5924611769,19.1677351,72.9391005,traffic_signals,,
5924612046,19.1786030,72.9451094,traffic_signals,,
5924612047,19.1788733,72.9452930,traffic_signals,,
5924612049,19.1816280,72.9467996,traffic_signals,,
5924612055,19.1832325,72.9490739,traffic_signals,,
5924612057,19.1832605,72.9495093,traffic_signals,,
5924612061,19.1838617,72.9533742,traffic_signals,,
5924612073,19.1833339,72.9486462,traffic_signals,,
5924612075,19.1757075,72.9426095,traffic_signals,,
5924612081,19.1720127,72.9409112,traffic_signals,,
5936572189,19.1300625,72.8764781,traffic_signals,,
5936572194,19.1232170,72.8714708,traffic_signals,,
5936572203,19.1190066,72.8702626,traffic_signals,,
5936572208,19.1179981,72.8684928,traffic_signals,,
5936572231,19.1149170,72.8600990,traffic_signals,,
5938773141,19.1757604,72.8740351,traffic_signals,,
5938773142,19.1757554,72.8739104,traffic_signals,,
5938773148,19.1756324,72.8675531,traffic_signals,,
5938773151,19.1755822,72.8658045,traffic_signals,,
5938773153,19.1746534,72.8615066,traffic_signals,,
5938773154,19.1742526,72.8596191,traffic_signals,,
5938773155,19.1742145,72.8592039,traffic_signals,,
5938773163,19.1728076,72.8520991,traffic_signals,,
5938773175,19.1736514,72.8451804,traffic_signals,,
5938773176,19.1736456,72.8450652,traffic_signals,,
5938773707,19.1758662,72.8739110,traffic_signals,,
5968928400,19.1628022,72.9415948,traffic_signals,,
5969984648,19.1661820,72.9645645,traffic_signals,,
5969985432,19.1731837,72.9620248,traffic_signals,,
5982461354,19.2641070,72.9678366,traffic_signals,,
5982461355,19.2639533,72.9680242,traffic_signals,,
5986915335,19.0019352,72.8436751,traffic_signals,,
5997071711,18.9301940,72.8314032,traffic_signals,,
6017562368,19.1967901,72.9713978,traffic_signals,,
6046553754,19.0745662,72.8466048,traffic_signals,,
6046553755,19.0747345,72.8466091,traffic_signals,,
6072223937,19.0595596,72.8294441,traffic_signals,,
6072223938,19.0596001,72.8295274,traffic_signals,,
6072223939,19.0595152,72.8295856,traffic_signals,,
6072223940,19.0594733,72.8295306,traffic_signals,,
6072268838,19.0176691,72.8481923,traffic_signals,,
6078180260,18.9385311,72.8357064,traffic_signals,,
6078180264,18.9388217,72.8359723,traffic_signals,,
6078180283,18.9397174,72.8348994,traffic_signals,,
6078180284,18.9397150,72.8347967,traffic_signals,,
6117653724,19.1738898,72.8365798,traffic_signals,,
6117653725,19.1738259,72.8367511,traffic_signals,,
